EI	EL	assocID	chemsIncludedInEvidenceBySource	diseaseClasses_DO	diseaseClasses_HPO	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseName	diseaseType	diseaseUMLSCUI	diseaseVocabularies	disease_inheritance	disease_prevalence_class	disease_prevalence_geo_area	disease_prevalence_type	geneDPI	geneDSI	geneEnsemblIDs	geneNcbiID	geneNcbiType	geneProteinClassIDs	geneProteinClassNames	geneProteinStrIDs	genepLI	numCTsupportingAssociation	numChemsIncludedInEvidences	numPMIDSWithChemsIncludedInEvidences	numPMIDs	numberChemsFiltered	numberPmidsWithChemsFiltered	score	symbolOfGene	yearFinal	yearInitial
0.90625		5308714	[]	[disease of anatomical entity (7)]	[Abnormality of the respiratory system (02086), Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Respiratory Tract Diseases (C08)]	[Disease or Syndrome (T047)]	Asthma	disease	C0004096	[ICD10_J45, MESH_D001249, ICD10_J45.9, HPO_HP:0002099, NCI_C28397, ICD9CM_493, ICD9CM_493.9, DO_2841, DO_9360, DO_9415, MONDO_0004979, UMLS_C0004096]					0.913	0.328	[ENSG00000196126]	3123	protein-coding	[DTO_05007608]	[Immune response]	[P01911]		0			1			1.0	HLA-DRB1	2006	2006
0.967741935483871		5308659	[]	[disease of anatomical entity (7)]	[Abnormality of the respiratory system (02086), Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Respiratory Tract Diseases (C08)]	[Disease or Syndrome (T047)]	Asthma	disease	C0004096	[ICD10_J45, MESH_D001249, ICD10_J45.9, HPO_HP:0002099, NCI_C28397, ICD9CM_493, ICD9CM_493.9, DO_2841, DO_9360, DO_9415, MONDO_0004979, UMLS_C0004096]					0.913	0.355	[ENSG00000179344]	3119	protein-coding	[DTO_05007608]	[Immune response]	[P01920]		0			1			1.0	HLA-DQB1	2000	2000
0.9642857142857143		30308091	[]	[disease of anatomical entity (7)]	[Abnormality of the eye (00478)]	[Eye Diseases (C11)]	[Disease or Syndrome (T047)]	Macular degeneration	disease	C0024437	[MESH_D008268, OMIM_607643, OMIM_607921, HPO_HP:0000608, NCI_C123330, DO_10871, DO_4448, MONDO_0003004, EFO_0001365, EFO_0009606, UMLS_C0024437]					0.913	0.417	[ENSG00000000971]	3075	protein-coding	[]	[]	[P08603]	0.99997	10			6			1.0	CFH	2016	2006
0.9444444444444444		40268844	[]	[disease of anatomical entity (7)]	[]	[Immune System Diseases (C20), Hemic and Lymphatic Diseases (C15)]	[Disease or Syndrome (T047)]	Sarcoidosis	disease	C0036202	[MESH_D012507, ICD10_D86, ICD10_D86.9, ICD9CM_135, NCI_C34995, ORDO_797, DO_11335, DO_13404, MONDO_0008399, MONDO_0019338, UMLS_C0036202]	Multigenic/multifactorial	6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,6-9 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,6-9 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-5 / 10 000,1-9 / 100 000,>1 / 1000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000	United States,Worldwide,Ireland,Croatia,Europe,United Kingdom,France,Spain,Finland,Denmark,Switzerland,Switzerland,Greece,Greece,Iceland,Czech Republic,Czech Republic,Australia,Japan,Japan,Korea, Republic of,Singapore,Italy,France,Sweden,Sweden,Taiwan, Province of China,Portugal,Norway,Norway,Canada,Guadeloupe,Guadeloupe,Uruguay	Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Annual incidence	0.913	0.355	[ENSG00000179344]	3119	protein-coding	[DTO_05007608]	[Immune response]	[P01920]		0			0			1.0	HLA-DQB1		
0.9428571428571428		5308613	[]	[disease of anatomical entity (7)]	[Abnormality of the respiratory system (02086), Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Respiratory Tract Diseases (C08)]	[Disease or Syndrome (T047)]	Asthma	disease	C0004096	[ICD10_J45, MESH_D001249, ICD10_J45.9, HPO_HP:0002099, NCI_C28397, ICD9CM_493, ICD9CM_493.9, DO_2841, DO_9360, DO_9415, MONDO_0004979, UMLS_C0004096]					0.913	0.353	[ENSG00000196735]	3117	protein-coding	[DTO_05007608]	[Immune response]	[P01909]	6.3922E-4	0			1			0.95	HLA-DQA1	2000	2000
0.9259259259259259		25301473	[]	[]	[]	[Pathological Conditions, Signs and Symptoms (C23)]	[Pathologic Function (T046)]	Inflammation	phenotype	C0021368	[MESH_D007249, NCI_C3137, UMLS_C0021368]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	255			1			1.0	IL10	2001	2001
0.8858447488584474		30257377	[]	[disease of anatomical entity (7)]	[Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17)]	[Disease or Syndrome (T047)]	Lupus Erythematosus, Systemic	disease	C0024141	[MESH_D008180, ICD10_M32, NCI_C3201, ICD10_M32.9, OMIM_152700, ICD9CM_710.0, HPO_HP:0002725, ORDO_536, DO_9074, MONDO_0007915, UMLS_C0024141]	Not applicable	1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,6-9 / 10 000	France,Martinique,New Zealand,Korea, Republic of,United States,Taiwan, Province of China,Europe,Finland,Worldwide,Worldwide,Poland	Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence	1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	18			5			1.0	IL10	2013	2009
0.9285714285714286		25334435	[]	[disease of anatomical entity (7)]	[Abnormality of the digestive system (25031), Abnormality of the immune system (02715)]	[Digestive System Diseases (C06)]	[Disease or Syndrome (T047)]	Inflammatory Bowel Diseases	disease	C0021390	[MESH_D015212, NCI_C3138, HPO_HP:0002037, DO_0050589, MONDO_0005265, EFO_0003767, UMLS_C0021390]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	20			5			1.0	IL10	2018	2013
0.8870056497175142		5280826	[]	[disease of anatomical entity (7)]	[Abnormality of the musculoskeletal system (33127)]	[Skin and Connective Tissue Diseases (C17), Immune System Diseases (C20), Musculoskeletal Diseases (C05)]	[Disease or Syndrome (T047)]	Rheumatoid Arthritis	disease	C0003873	[MESH_D001172, ICD10_M06.9, OMIM_180300, ICD9CM_714.0, OMIM_607218, HPO_HP:0001370, NCI_C2884, DO_7148, MONDO_0008383, EFO_0000685, UMLS_C0003873]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	32			3			1.0	IL10	2013	2003
0.8571428571428571		15041634	[]	[disease of anatomical entity (7)]	[Abnormality of the immune system (02715), Abnormality of the digestive system (25031)]	[Digestive System Diseases (C06)]	[Disease or Syndrome (T047)]	Colitis	disease	C0009319	[MESH_D003092, HPO_HP:0002583, NCI_C26723, DO_0060180, DO_0060189, DO_0060190, DO_2326, MONDO_0005292, MONDO_0005534, EFO_0003872, EFO_0005624, UMLS_C0009319]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	19			4			1.0	IL10	2013	2009
0.9177215189873418		5311863	[]	[disease of anatomical entity (7)]	[Abnormality of the respiratory system (02086), Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Respiratory Tract Diseases (C08)]	[Disease or Syndrome (T047)]	Asthma	disease	C0004096	[ICD10_J45, MESH_D001249, ICD10_J45.9, HPO_HP:0002099, NCI_C28397, ICD9CM_493, ICD9CM_493.9, DO_2841, DO_9360, DO_9415, MONDO_0004979, UMLS_C0004096]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	28			1			1.0	IL10	2018	2018
0.9032258064516129		30257986	[]	[disease of anatomical entity (7)]	[Abnormality of the immune system (02715)]	[Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17)]	[Disease or Syndrome (T047)]	Lupus Erythematosus, Systemic	disease	C0024141	[MESH_D008180, ICD10_M32, NCI_C3201, ICD10_M32.9, OMIM_152700, ICD9CM_710.0, HPO_HP:0002725, ORDO_536, DO_9074, MONDO_0007915, UMLS_C0024141]	Not applicable	1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,6-9 / 10 000	France,Martinique,New Zealand,Korea, Republic of,United States,Taiwan, Province of China,Europe,Finland,Worldwide,Worldwide,Poland	Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence	0.87	0.462	[ENSG00000128604]	3663	protein-coding	[DTO_05007542]	[Transcription factor]	[Q13568]	0.87295	1			6			1.0	IRF5	2013	2005
0.9090909090909091		60171770	[]	[disease by infectious agent (0050117)]	[]	[Infections (C01), Pathological Conditions, Signs and Symptoms (C23)]	[Disease or Syndrome (T047)]	Sepsis	disease	C0243026	[MESH_D018805, ICD9CM_995.91, DO_0040085, MONDO_0005229, EFO_0003033, UMLS_C0243026]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	47			1			1.0	IL10	2001	2001
0.8321678321678322		15375238	[]	[disease of metabolism (0014667), genetic disease (630)]	[Abnormality of metabolism/homeostasis (01939), Abnormality of the endocrine system (00818)]	[Nutritional and Metabolic Diseases (C18), Endocrine System Diseases (C19)]	[Disease or Syndrome (T047)]	Diabetes Mellitus, Non-Insulin-Dependent	disease	C0011860	[MESH_D003924, ICD10_E11, OMIM_125853, NCI_C26747, OMIM_600509, OMIM_147545, HPO_HP:0005978, OMIM_138079, OMIM_147670, OMIM_167413, OMIM_600281, OMIM_189907, OMIM_138430, OMIM_164731, OMIM_601724, DO_9352, MONDO_0005148, UMLS_C0011860]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	54			0			1.0	IL10		
0.8592592592592593		25106895	[]	[disease by infectious agent (0050117)]	[]	[Infections (C01), Urogenital Diseases (C12), Immune System Diseases (C20)]	[Disease or Syndrome (T047)]	HIV Infections	disease	C0019693	[MESH_D015658, ICD10_B20-B24.9, ICD10_B24, ICD9CM_042, NCI_C3108, ICD9CM_042-042.99, DO_526, DO_635, MONDO_0005109, EFO_0000764, UMLS_C0019693]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	17			1			1.0	IL10	1999	1999
0.8195488721804511		25071206	[]	[disease of anatomical entity (7), disease by infectious agent (0050117)]	[]	[Infections (C01), Digestive System Diseases (C06)]	[Disease or Syndrome (T047)]	Hepatitis C	disease	C0019196	[MESH_D006526, NCI_C3098, ICD9CM_070.7, DO_1883, MONDO_0005231, EFO_0003047, UMLS_C0019196]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	4			0			1.0	IL10		
0.8411214953271028		15050559	[]	[disease of anatomical entity (7)]	[Abnormality of the immune system (02715), Abnormality of the digestive system (25031)]	[Digestive System Diseases (C06)]	[Disease or Syndrome (T047)]	Ulcerative Colitis	disease	C0009324	[ICD10_K51, MESH_D003093, ICD10_K51.9, OMIM_266600, ICD9CM_556.9, HPO_HP:0100279, NCI_C2952, ICD9CM_556, DO_8577, MONDO_0005101, EFO_0000729, UMLS_C0009324]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	18			2			1.0	IL10	2010	2008
0.9615384615384616		115170092	[]	[disease by infectious agent (0050117)]	[]	[Infections (C01), Respiratory Tract Diseases (C08)]	[Disease or Syndrome (T047)]	COVID-19 Virus Disease	disease	C5203670	[MESH_D000086382, NCI_C171133, DO_0080600, MONDO_0100096, UMLS_C5203670]					1.0	0.264	[ENSG00000136634]	3586	protein-coding	[]	[]	[P22301]	0.48334	118			2			1.0	IL10	2020	2020
0.8979591836734694		15328492	[]	[disease of anatomical entity (7), disease of metabolism (0014667), genetic disease (630)]	[Abnormality of metabolism/homeostasis (01939), Abnormality of the endocrine system (00818)]	[Nutritional and Metabolic Diseases (C18), Immune System Diseases (C20), Endocrine System Diseases (C19)]	[Disease or Syndrome (T047)]	Diabetes Mellitus, Insulin-Dependent	disease	C0011854	[MESH_D003922, ICD10_E10, OMIM_222100, NCI_C2986, HPO_HP:0100651, ORDO_243377, DO_0110741, DO_0110742, DO_0110743, DO_0110744, DO_0110745, DO_0110746, DO_9744, DO_0110747, DO_0110749, DO_0110750, DO_0110751, DO_0110752, DO_0110753, DO_0110754, DO_0110755, DO_0110756, DO_0110757, DO_0110758, DO_0110759, DO_0110760, DO_0110761, MONDO_0005147, MONDO_0007454, MONDO_0010950, MONDO_0011572, MONDO_0011016, MONDO_0011033, MONDO_0011068, MONDO_0011123, MONDO_0012422, MONDO_0010861, MONDO_0010862, MONDO_0010863, MONDO_0010864, MONDO_0011167, MONDO_0011168, MONDO_0012919, MONDO_0012920, MONDO_0012921, MONDO_0012961, MONDO_0011302, MONDO_0013078, UMLS_C0011854]					0.913	0.359	[ENSG00000134460]	3559	protein-coding	[DTO_05007575]	[Receptor]	[P01589]	5.1734E-6	10			4			1.0	IL2RA	2018	2007
